Gene_names,Fold.Change,pvalue
Apoh,-2.576047055,0.005018859
Ndufa6,3.310990652,0.005043509
Acadm,1.893890652,0.005081894
Acads,2.474490652,0.005101365
Alas1,4.605155019,0.005103569
Adck1,4.570820706,0.005285995
Mrps24,3.425847315,0.005308663
Atp5d,3.067757319,0.005321475
Mul1,-4.236070024,0.005369597
Nfs1,5.420347427,0.005447687
Mrpl15,5.656070706,0.005476489
Acadsb,6.613613981,0.005561484
TCAIM,4.636994009,0.005575711
Mrpl28,6.029247315,0.005578373
Smyd1,5.175527343,0.005597193
Atp5o,4.931990652,0.005729036
Myo18a,4.149220706,0.005754331
Ndufs2,2.785257319,0.005888301
Got2,4.429923985,0.005914201
Etfa,3.138690652,0.00596847
Fech,3.640260676,0.006086938
Cisd1,5.149627343,0.00613487
Acad8,4.982709649,0.006233396
Nme2;Nme1,-1.072373476,0.006332874
Ech1,6.092292941,0.006409929
Atp5a1,2.364090652,0.006461875
Eppk1,-4.248078495,0.006509633
,-1.193776015,0.006527708
,-0.988542681,0.006576278
Mrpl9,4.895620706,0.006721391
Ces1d,1.592957319,0.006738146
Pdk2,6.609547315,0.006752328
Smim4,4.032194009,0.006875245
Sptbn1,2.415806302,0.006957404
Oat,3.074732181,0.007081662
Ndufs1,3.318290652,0.007168496
Mrpl35,3.483220706,0.007205922
,-0.722842681,0.007215458
Mtatp8,1.914823985,0.007234355
Sucla2,3.092590652,0.007394799
Acadl,2.874657319,0.007474977
Ndufa7,2.427282181,0.007508426
Aurkaip1,4.730920706,0.007523382
Acad9,4.830580648,0.00757628
Acsl1,3.391223985,0.00759935
Ndufa5,5.433014093,0.008003293
Ndufa4,3.475757319,0.008020807
Tsfm,8.171376274,0.008131547
Ftsj2,4.398820706,0.00818956
Mfn1,3.511627343,0.008259753
Ryr2,2.043457319,0.008334852
Mpc1,5.611447315,0.008358517
Atp5b,2.218123985,0.008645166
Sdhb,2.153515514,0.008739471
Dbt,4.305723985,0.008745856
Bdh1,6.073097427,0.008758354
Rpl10a,3.724827343,0.008834375
Lmod1,2.695123985,0.009026988
Iars2,7.294647315,0.009514437
Higd1a,1.924090652,0.009539502
Hadha,2.949623985,0.009825306
Oxsm,1.286956302,0.009896452
Acaa2,2.423657319,0.009943791
