,Brain.e10.5,Brain.e11.5,Brain.e12.5,Brain.e13.5,Brain.e14.5,Brain.e15.5,Brain.e16.5,Brain.e17.5,Brain.e18.5,Brain.P0,Brain.P3,Brain.P14,Brain.P28,Brain.P63,Cerebellum.e13.5,Cerebellum.e14.5,Cerebellum.e15.5,Cerebellum.e16.5,Cerebellum.e17.5,Cerebellum.e18.5,Cerebellum.P0,Cerebellum.P3,Cerebellum.P14,Cerebellum.P28,Cerebellum.P63,Heart.e10.5,Heart.e11.5,Heart.e12.5,Heart.e13.5,Heart.e14.5,Heart.e15.5,Heart.e16.5,Heart.e17.5,Heart.e18.5,Heart.P0,Heart.P3,Heart.P14,Heart.P28,Heart.P63,Kidney.e11.5,Kidney.e12.5,Kidney.e13.5,Kidney.e14.5,Kidney.e15.5,Kidney.e16.5,Kidney.e17.5,Kidney.e18.5,Kidney.P0,Kidney.P3,Kidney.P14,Kidney.P28,Kidney.P63,Liver.e10.5,Liver.e11.5.2,Liver.e12.5,Liver.e13.5,Liver.e14.5,Liver.e15.5,Liver.e16.5,Liver.e17.5,Liver.e18.5,Liver.P0,Liver.P3,Liver.P14,Liver.P28,Liver.P63,Ovary.e10.5,Ovary.e11.5,Ovary.e12.5,Ovary.e13.5,Ovary.e14.5,Ovary.e15.5,Ovary.e16.5,Ovary.e17.5,Ovary.e18.5,Ovary.P0,Ovary.P3,Ovary.P14,Ovary.P28,Ovary.P63,Testis.e10.5,Testis.e11.5,Testis.e12.5,Testis.e13.5,Testis.e14.5,Testis.e15.5,Testis.e16.5,Testis.e17.5,Testis.e18.5,Testis.P0,Testis.P3,Testis.P14,Testis.P28,Testis.P63
Rpl17,12.69220286,13.11571222,8.475702586,7.680842685,9.814673908,8.467950246,8.939757229,6.645419706,5.378767342,6.660280025,6.549653172,3.898616594,4.246443626,4.638580268,6.577445311,7.585991914,7.937513132,6.368118679,8.109548172,5.102253193,6.553363166,6.420048384,4.850706792,4.458279752,4.40572492,13.46124917,10.21818642,8.344600659,9.361714685,7.831938821,8.402473021,7.738333904,7.069496917,6.871767134,6.355482005,6.727683741,5.020083581,5.140081879,4.521357075,14.03132542,12.57300314,12.08622792,12.69544283,10.40467926,10.57083091,10.18152639,10.223541,9.450528875,9.641870899,6.290096943,5.618461309,4.753384431,15.41208071,11.52393402,21.0827385,19.89990696,24.59574414,23.75453312,17.79449022,13.66795283,11.0492613,15.49012692,14.53140384,10.99228064,8.796028651,9.384456039,12.15847852,10.93811108,7.764892081,9.818210437,12.41637809,13.24391384,11.65220906,12.86482504,8.35578852,12.64554376,11.0514956,14.06272116,14.1912972,12.04592811,8.71247317,8.755987553,8.488628496,10.84789642,13.14482588,12.35881234,7.771753318,10.12309631,6.801660556,9.992665709,12.29833246,7.869004266,2.66093223,2.594125681
Rpl7a,84.08981725,83.05798684,55.2238724,46.68127476,61.58850038,48.94363744,35.26804975,40.36052392,37.59510895,34.49366367,30.69828157,20.47194365,17.27915369,17.74028569,39.53055348,50.10804741,40.65337239,32.70624195,34.58542545,31.00019046,32.37163488,31.46368268,18.13640983,15.29125827,17.34290589,90.76952243,71.63099732,51.40027022,58.35133851,57.4089892,54.07857187,46.81646299,50.96189299,40.83556804,46.14379744,41.41911927,37.03865748,33.37446797,30.48613175,79.34954522,67.47159097,67.45754889,75.14081665,60.86423255,52.54961578,64.65127034,55.64582701,50.618294,44.30696444,35.84874557,35.9882875,33.50916549,85.92148518,89.00873766,107.1034687,101.8668459,149.989714,106.5079847,77.04605222,69.74797366,60.95348656,71.70120889,65.78879457,45.1838619,48.34005103,56.69068606,88.04975112,64.89980131,57.91619417,68.11677543,73.56654141,58.43348728,49.03400015,62.47141283,48.43606581,50.59742385,46.40534066,57.63221626,49.13367429,49.42694288,73.0205417,65.23391222,72.91932654,66.10273128,80.96226999,55.66748082,44.48177565,49.29012482,40.81859762,53.2694225,53.44766749,27.93663478,12.70144693,12.96039992
Rpl35,115.7422164,133.8839326,70.75285481,81.67403596,110.6329548,72.77867287,60.31049809,83.56067329,57.14978644,72.67704049,69.91679107,36.41901995,22.38646822,25.16463485,63.58509976,89.61740681,64.17675545,54.81071663,77.16429662,51.84323175,54.75485861,59.67505829,27.26323922,27.95999078,27.10842615,130.2763126,93.63513146,73.14138808,105.4174466,71.33307763,73.01338979,68.35854404,56.03757953,79.85990926,80.35121984,75.19245772,43.55554239,44.31238196,58.10470156,118.0208426,122.1852922,94.44485108,82.7696751,72.84033151,81.10553351,66.54319724,77.34945623,92.04610941,77.61658063,46.49350324,45.81492975,35.72692874,144.1096483,110.2366945,224.3422624,182.6233566,256.242449,184.2766342,155.2597035,161.0724166,151.6532479,132.402189,137.2757865,82.21867803,67.75504301,68.35580696,91.8078235,78.69710451,80.34815552,78.37770669,118.5029043,96.39976661,68.9619863,108.8860791,81.38150015,132.6020686,106.2426184,89.27901698,90.28465595,78.30627721,76.33432741,69.56600592,100.0626036,90.40277616,114.8233422,92.34930347,79.75534067,90.76561695,68.77438437,108.8265878,74.39981022,59.8448422,56.0477241,63.37710602
Rpl27,16.16593406,11.13931029,7.48940512,7.952300201,8.329866116,6.495027047,6.354064662,6.419754228,5.155080487,5.459710493,5.255408162,3.281905073,2.131914131,2.63212559,6.927465873,6.979028953,6.162214389,5.163487078,5.646652829,4.392761998,4.876628721,5.809719496,3.833301784,2.698631397,2.274564827,9.046692169,5.408403038,3.190128223,5.323029286,4.38046303,3.975933227,3.450535614,3.223475759,3.200799244,4.94181725,4.730280041,2.317962229,1.625343437,2.633080016,9.259668286,8.68750836,7.873300565,6.588905805,4.313606839,5.625947744,4.001178465,4.201998499,6.093481305,5.970681788,2.343061969,2.252902953,2.470955342,16.34706598,12.41858073,20.16620702,15.52271137,16.2867294,11.13053383,9.403987937,7.520968588,5.103221749,5.637165847,6.354075425,5.139375882,3.959115428,3.37631316,11.57587523,5.496986494,5.016691708,6.197838464,6.226243567,4.645401378,5.988162275,4.611299352,4.399673957,5.606097015,4.87260255,5.783464186,6.597141023,6.256013204,8.117886415,5.897313487,7.462000365,7.479713111,7.831904074,6.130028665,5.785017096,5.697204284,4.419489963,5.463518371,5.31025196,5.643775594,1.778580541,1.89753547
Rps15,929.7859697,711.4488749,492.212872,477.9744124,570.3061472,477.7320386,411.2070728,438.2625888,370.2771194,358.65313,342.5988539,244.3976109,275.6656862,311.1375875,375.6308354,440.5595084,402.426149,333.4152124,409.0585231,310.5350342,365.6830602,385.9103445,240.7865609,202.9833908,239.6257075,839.1524567,673.7726329,575.9155098,652.8030957,583.2190453,599.7435357,558.2259783,502.6168408,526.375942,484.9307843,418.1905961,346.8057872,353.4996743,422.1504605,699.153556,751.977449,717.8173609,620.4767825,604.5018443,590.4650518,586.8974711,618.7519087,547.0243516,479.31891,339.8626478,344.5959858,292.4659386,988.5997515,790.2419584,996.136884,1059.283903,1300.434103,1049.136502,710.1326779,703.4674043,588.684774,724.7364576,721.3302315,432.9632909,432.0000154,499.3905029,658.216186,686.5734579,607.7963196,644.8607495,827.0229686,696.4523608,558.3109191,725.2967707,559.8965966,694.5587245,543.7054493,671.3353467,601.587571,569.5284751,592.202448,594.8915577,645.1538504,656.4112542,812.9667225,628.2062823,526.715926,616.2716806,486.1661735,543.5151628,503.8701632,307.0801896,183.4661713,169.0053364
Rpl7l1,60.64799545,70.34190851,34.623063,31.221479,26.15508231,20.98199139,18.83721713,15.56935954,17.91457238,14.03808563,13.975242,12.68411465,11.86235445,11.63669436,24.07030955,20.14713521,16.56258969,16.15108206,15.08770184,15.71404165,15.47026314,16.23310103,14.4649659,13.40288611,13.44130795,43.2686721,50.18414276,29.07519865,35.45054848,29.28452012,34.00903893,28.66873494,28.19043462,26.79668729,25.24797055,21.71294259,22.82900337,26.10791881,22.00284339,49.02013898,46.6128957,47.3534871,45.44677205,41.86156025,41.63342509,39.04392978,35.46707229,32.71225518,29.12003182,26.52723458,32.685157,29.83436869,66.40952249,63.56870948,67.88151071,59.33485051,55.27027595,44.92952829,43.73570276,43.90362917,38.99617558,35.28709708,33.0222644,43.05286869,52.55011111,36.72672106,55.25569693,33.81472652,28.61666645,34.56203803,29.68540457,26.27280463,27.87024161,26.05911146,26.70104677,28.62610808,22.68500795,28.09010496,29.21565461,27.14827296,45.19548534,38.93960697,47.01875553,44.15341432,37.15030465,25.18120154,24.3502418,23.77953424,21.58186481,23.46671644,24.57801672,26.01255175,11.14726295,10.26451975
Rplp0,685.7661198,606.1753143,350.1275698,339.1910697,342.6318032,276.1044836,264.6569111,272.0189978,268.8295051,254.2772521,248.7874693,102.9600038,59.87911545,59.61780961,282.8837584,269.7660721,236.7312892,224.9482577,246.1703171,221.560483,229.7143604,240.4330769,100.9166086,65.52569437,63.20767343,830.346606,536.1990035,513.8652653,512.2771491,479.4534933,495.7397286,462.1831309,436.8271024,451.2195272,431.5430191,371.7186063,317.1626799,311.0867908,309.6224307,591.5820366,645.4820279,526.236206,495.0076735,482.710022,478.0612008,484.1070196,489.7926362,433.1274282,395.049344,246.3061764,251.2028524,213.2357624,817.2591904,683.4381939,1171.424262,1089.559267,1111.365794,865.0195534,694.0074592,570.9948797,504.5753797,585.516055,627.1359558,274.006615,276.7870899,295.0559924,645.0403512,473.3375853,466.0234978,433.2729501,437.7928825,423.0513957,312.0861694,435.7290798,418.4546777,339.4460297,305.0188659,435.0369491,405.5703738,327.640053,550.8558685,489.376189,450.7550067,433.062519,468.8898949,401.5478225,360.1644364,396.1026293,382.4193852,359.1667828,322.4274114,268.6760312,272.7342804,258.529956
Rps28,29.16963663,33.79224981,22.57685424,14.2302224,22.35882404,17.2933547,10.92620374,18.17569059,10.87181114,12.48505085,11.10694246,7.347575196,5.906928071,6.327475518,13.40978248,14.95038611,14.32360362,9.653654293,16.38812261,8.934457658,12.82813436,10.31562102,7.031221337,5.082189393,5.223328453,28.26622581,25.64335081,23.65157131,21.94349194,25.13881021,19.6838928,18.02292655,16.44263453,12.5047007,13.5098664,12.49361273,12.9470149,9.72142454,9.160773694,31.73994998,28.0704276,27.33396529,32.41336084,21.50584313,20.07208349,22.61133721,20.60024294,16.2733929,15.56216022,11.689343,9.060193098,9.532268746,33.05484484,40.56609243,36.54852748,30.94280004,41.14185661,31.54495438,19.26982018,25.16671842,18.23624925,29.05852652,24.08144451,16.85803714,12.80770795,13.89679774,32.72475479,25.41187424,22.68478781,28.00840011,34.21846066,30.90849268,25.07864597,36.89872918,18.5586001,25.85207368,20.43128862,25.44211618,20.19691862,20.7216802,21.70159667,27.51487709,29.75807582,25.71653291,39.72389344,25.45088053,20.40485277,24.58927474,15.65480794,34.02165462,45.69011339,20.84146075,11.76194859,14.60355308
Rpl31,21.11743699,25.18086809,11.26170268,9.5276553,11.04007669,9.917831879,8.209135173,7.675818427,8.16348172,6.854166117,6.584262636,6.22589247,5.69397163,5.986964425,8.172320075,8.397216185,8.105708013,7.91027388,8.029691995,7.774690169,7.153473509,7.193963572,5.012693532,3.941116421,4.328748065,19.1933234,20.27517256,14.17714828,14.18423953,13.8040556,15.39768731,12.14064308,11.00489206,10.65684855,9.73917998,8.227532557,5.695937321,4.57204391,5.653763426,16.97289958,15.32278094,16.63477266,15.08292653,12.5927817,12.57565466,11.00225166,12.26363361,10.12704763,9.286015141,5.440950579,4.837432892,4.903950767,29.45784281,22.03265287,29.80404844,27.19421067,29.97757474,25.40263963,22.18326158,19.72104365,16.57249939,14.31432074,12.37220064,9.096621317,8.822039617,8.048817064,16.18776847,15.36876294,13.01449399,13.20223127,17.10193072,15.04297967,14.09687126,15.17105366,14.5320259,13.55168235,9.159603474,11.76308285,10.52557795,8.701409077,13.53956214,14.63285088,11.45769689,14.59824523,15.46600428,12.70161789,11.92381903,11.14399424,10.88223139,7.195861742,8.013682225,4.653557204,2.637032504,3.164967165
Rpl36a,5.442416802,5.657288322,3.223338628,3.591015381,3.96292239,4.365915027,4.498200941,4.860368258,3.001466695,3.63155478,4.207515558,2.57048365,3.100551859,3.291714315,3.084158169,3.889505009,3.352684585,3.21563422,4.355283642,2.798729552,3.170136799,3.951469451,3.061558667,2.98842052,2.974584239,4.167770475,4.349480857,2.636831108,3.932856279,3.541950535,3.301828251,3.343389253,2.820290801,2.663171517,3.136866804,2.386008963,2.028003959,1.436146101,1.486669241,5.765551837,6.089769286,6.419050805,5.577767444,5.185993044,4.656733128,4.917633065,4.476237288,4.591451044,4.112673462,2.599436611,1.81006291,1.885264817,7.341617493,4.935357193,8.477371567,7.687010742,10.5593379,8.025731487,7.17162489,6.069782102,3.999691032,5.593637358,5.327892874,4.31764398,3.670478099,3.097132582,4.361836462,5.153402213,4.244033194,4.486178262,5.944860307,5.646407993,4.619885261,6.402355419,3.76760013,6.547463235,4.357801771,6.047082342,4.886540245,4.715383772,3.949381263,3.331465057,3.179330583,4.271470125,6.578625568,4.810274917,3.371119263,4.037557685,3.711296197,4.094987115,5.243859404,2.049116618,0.179623179,0.203305667
